Filename,Counter,nanomaterial_composition,nanomaterial_morphology,nanomaterial_size,biological_species,toxic_lc50,nanomaterial_zeta_potential,biofilms_killing_perc,microbe_killing_log,microbe_killing_mic,nanomaterial_surface_area,microbe_killing_mbc
ATC00000,0,Cu,nanoparticle,0.00000005,Danio rerio,,,,,,,
ATC00000,1,Cu,nanoparticle,0.00000005,Oncorhynchus mykiss,,,,,,,
ATC00000,2,Cu,nanoparticle,0.00000005,Pimephales promelas,,,,,,,
ATC00003,0,TiO2,nanoparticle,,Ceriodaphnia dubia,0.0076,,,,,,
ATC00003,1,TiO2,nanoparticle,,Ceriodaphnia dubia,0.1,,,,,,
ATC00003,2,TiO2,nanoparticle,,Daphnia pulex,0.0092,,,,,,
ATC00003,3,TiO2,nanoparticle,,Daphnia pulex,,,,,,,
ATC00003,4,TiO2,nanoparticle,,Pseudokirchneriella subcapitata,,,,,,,
ATC00003,5,TiO2,nanoparticle,,Pseudokirchneriella subcapitata,,,,,,,
ATC00008,1,TiO2,nanoparticle,,,,,,,,,
ATC00010,3,CdSe,nanoparticle,,,,,,,,,
ATC00010,7,Ag,nanoparticle,,,,,,,,,
ATC00010,10,ZnO,nanoparticle,,Danio rerio,,,,,,,
ATC00011,0,Cu,nanoparticle,,,,,,,,,
ATC00011,1,Ag,nanoparticle,,,,,,,,,
ATC00015,0,CdSe,dot,,,,,,,,,
ATC00025,0,CeO2,nanoparticle,,Danio rerio,,,,,,,
ATC00025,1,CeO2,nanoparticle,,Daphnia magna,,,,,,,
ATC00025,2,CeO2,nanoparticle,,Vibrio fischeri,,,,,,,
ATC00026,0,TiO2,nanoparticle,,,,,,,,,
ATC00026,1,TiO2,nanoparticle,,,,,,,,,
ATC00026,4,TiO2,nanoparticle,,,,,,,,,
ATC00031,0,Ag,nanoparticle,,Fathead minnow,,,,,,,
ATC00036,0,C,nanotube,,,,,,,,,
ATC00036,1,C,nanotube,,,,,,,,,
ATC00036,2,C,nanotube,,,,,,,,,
ATC00037,0,Ag,nanoparticle,,Caenorhabditis elegans,,,,,,,
ATC00037,1,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC00037,2,Ag,nanoparticle,,Fundulus heteroclitus,,,,,,,
ATC00037,3,Ag,nanoparticle,,Lemna minuta,,,,,,,
ATC00039,1,C,nanotube,,Danio rerio,,,,,,,
ATC00040,0,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC00041,0,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC00042,0,C,nanotube,,Danio rerio,,,,,,,
ATC00042,1,C,nanotube,,Laeonereis acuta,,,,,,,
ATC00044,0,SiO2,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00045,0,Au,nanoparticle,0.000000031,Danio rerio,,,,,,,
ATC00046,0,C,nanotube,,,,,,,,,
ATC00046,1,C,nanotube,,,,,,,,,
ATC00046,2,C,nanotube,,Daphnia magna,,,,,,,
ATC00046,3,C,nanotube,,Oryzias latipes,,,,,,,
ATC00047,2,Ag,nanoparticle,,,,,,,,,
ATC00047,3,Ag,nanoparticle,,,,,,,,,
ATC00047,6,CuO,nanoparticle,,Eisenia fetida,,,,,,,
ATC00047,7,CuO,nanoparticle,,,,,,,,,
ATC00051,0,Ag,nanoparticle,0.00000003,,,,,,,,
ATC00052,0,Mg,nanoparticle,,,,,,,,,
ATC00052,1,Mg,nanoparticle,,,,,,,,,
ATC00052,4,Mg,nanoparticle,,,,,,,,,
ATC00052,8,MgO,nanoparticle,,Eisenia andrei,,,,,,,
ATC00052,9,MgO,nanoparticle,,Enchytraeus crypticus,,,,,,,
ATC00052,10,MgO,nanoparticle,,Folsomia candida,,,,,,,
ATC00054,0,FexOy,nanoparticle,,,,,,,,,
ATC00054,1,FexOy,nanoparticle,,,,,,,,,
ATC00056,0,Ag,nanoparticle,,,,,,,,,
ATC00056,1,Ag,nanoparticle,,Chlorella vulgaris,,,,,,,
ATC00056,2,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC00056,3,Ag,nanoparticle,,Daphnia similis,,,,,,,
ATC00056,4,Ag,nanoparticle,,Klebsiella pneumoniae,,,,,,,
ATC00056,5,Ag,nanoparticle,,Trichophyton mentagrophytes,,,,,,,
ATC00058,0,Ag,nanoparticle,0.00000004,,,,,,,,
ATC00058,1,Ag,nanoparticle,0.00000004,Escherichia coli,,,,,,,
ATC00058,2,Cu,nanoparticle,0.0000001,Bacillus subtilis,,,,,,,
ATC00058,3,Cu,nanoparticle,0.0000001,,,,,,,,
ATC00061,0,ZnO,nanoparticle,,,,,,,,,
ATC00061,1,ZnO,nanoparticle,,,,,,,,,
ATC00061,2,ZnO,nanoparticle,,,,,,,,,
ATC00061,3,ZnO,nanoparticle,,,,,,,,,
ATC00061,4,Zn,nanoparticle,,,,,,,,,
ATC00061,5,Zn,nanoparticle,,,,,,,,,
ATC00061,6,Zn,nanoparticle,,,,,,,,,
ATC00061,7,Zn,nanoparticle,,,,,,,,,
ATC00062,0,Zr,nanoparticle,,,,,,,,,
ATC00062,1,Zr,nanoparticle,,,,,,,,,
ATC00062,2,ZrO2,nanoparticle,,,,,,,,,
ATC00062,3,ZrO2,nanoparticle,,Danio rerio,,,,,,,
ATC00066,0,Ag,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00067,0,C,nanotube,,Oncorhynchus mykiss,,,,,,,
ATC00069,0,FexOy,nanoparticle,,Oncorhynchus mykiss,,,,,,,
ATC00071,0,ZnO,nanoparticle,,,,,,,,,
ATC00073,0,Cu,nanoparticle,5.83333333333333E-08,,,,,,,,
ATC00074,0,CdSe,dot,,,,,,,,,
ATC00074,1,CdSe,dot,,,,,,,,,
ATC00080,0,Ag,nanoparticle,,Danio rerio,0.000487,,,,,,
ATC00081,0,CeO2,nanoparticle,0.00000003,Caenorhabditis elegans,,,,,,,
ATC00081,1,CeO2,nanoparticle,0.00000003,Caenorhabditis elegans,,,,,,,
ATC00081,2,CeO2,nanoparticle,0.000000015,Caenorhabditis elegans,,,,,,,
ATC00081,3,TiO2,nanoparticle,0.0000000135,Caenorhabditis elegans,,,,,,,
ATC00081,4,TiO2,nanoparticle,0.000000007,Caenorhabditis elegans,,,,,,,
ATC00081,5,TiO2,nanoparticle,0.000000007,Caenorhabditis elegans,,,,,,,
ATC00083,0,C,nanotube,,,,,,,,,
ATC00083,1,C,nanotube,,,,,,,,,
ATC00085,0,Ag,nanoparticle,0.000000025,Bacillus subtilis,,,,,,,
ATC00085,1,Ag,nanoparticle,0.000000005,Bacillus subtilis,,,,,,,
ATC00085,2,Ag,nanoparticle,0.000000025,Escherichia coli,,,,,,,
ATC00085,3,Ag,nanoparticle,0.000000005,Escherichia coli,,,,,,,
ATC00085,4,Ag,nanoparticle,0.000000025,Staphylococcus aureus,,,,,,,
ATC00085,5,Ag,nanoparticle,0.000000005,Staphylococcus aureus,,,,,,,
ATC00086,0,Ag,nanoparticle,,Caenorhabditis elegans,,,,,,,
ATC00086,1,Ag,nanoparticle,,,,,,,,,
ATC00087,0,C,nanotube,,Eisenia fetida,,,,,,,
ATC00089,0,Ag,nanoparticle,,Saccharomyces cerevisiae,,,,,,,
ATC00089,1,Ag,nanoparticle,,,,,,,,,
ATC00089,2,Ag,nanoparticle,,,,,,,,,
