,article_doi,Publication Year
ATC000000,doi:10.1016/j.chemosphere.2015.06.021,2015
ATC000001,doi:10.1016/j.cbpc.2022.109343,2022
ATC000002,doi:10.1016/j.jcis.2018.07.096,2018
ATC000003,doi:10.1016/j.ijbiomac.2018.06.160,2018
ATC000004,doi:10.1016/j.carbpol.2016.07.041,2016
ATC000005,doi:10.1016/j.ijleo.2020.164230,2020
ATC000006,doi:10.1016/j.materresbull.2011.06.041,2011
ATC000007,doi:10.1016/j.msec.2020.110972,2020
ATC000008,doi:10.1016/j.jece.2022.108889,2022
ATC000009,doi:10.1016/j.envres.2021.111433,2021
ATC000010,doi:10.1016/j.clay.2023.107155,2023
ATC000011,doi:10.1016/j.msec.2021.112608,2022
ATC000012,doi:10.1016/j.mssp.2014.12.044,2015
ATC000013,doi:10.1016/j.apsusc.2014.04.206,2014
ATC000014,doi:10.1016/j.molliq.2024.124903,2024
ATC000015,doi:10.1016/j.molstruc.2011.11.024,2012
ATC000016,doi:10.1016/j.talanta.2006.08.008,2007
ATC000017,doi:10.1016/j.ceramint.2023.08.237,2023
ATC000018,doi:10.1016/j.jddst.2018.10.035,2019
ATC000019,doi:10.1016/j.ijbiomac.2023.127548,2023
ATC000020,doi:10.1016/j.cej.2023.141606,2023
ATC000021,doi:10.1016/j.apt.2017.03.001,2017
ATC000022,doi:10.1016/j.ijbiomac.2023.127443,2023
ATC000023,doi:10.1016/j.cej.2019.04.113,2019
ATC000024,doi:10.1016/j.jiec.2023.08.003,2023
ATC000025,doi:10.1016/j.jhazmat.2021.125339,2021
ATC000026,doi:10.1016/j.matchemphys.2020.123067,2020
ATC000027,doi:10.1016/j.jece.2020.104076,2020
ATC000028,doi:10.1016/j.jddst.2020.101550,2020
ATC000029,doi:10.1016/j.ijfoodmicro.2019.02.001,2019
ATC000030,doi:10.1016/j.ceramint.2012.07.070,2013
ATC000031,doi:10.1016/j.ygcen.2013.08.005,2013
ATC000032,doi:10.1016/S0048-9697(01)00759-8,2001
ATC000033,doi:10.1016/j.bios.2020.112077,2020
ATC000034,doi:10.1016/j.jcis.2016.01.046,2016
ATC000035,doi:10.1016/j.matchemphys.2021.124723,2021
ATC000036,doi:10.1016/j.colsurfa.2011.08.042,2011
ATC000037,doi:10.1016/j.ecoenv.2018.06.079,2018
ATC000038,doi:10.1016/j.cej.2022.139078,2023
ATC000039,doi:10.1016/j.foodchem.2021.130678,2022
ATC000040,doi:10.1016/j.aquatox.2017.08.004,2017
ATC000041,doi:10.1016/j.ceramint.2022.10.318,2023
ATC000042,doi:10.1016/j.actbio.2013.06.006,2013
ATC000043,doi:10.1016/j.aquatox.2018.11.018,2019
ATC000044,doi:10.1016/j.jmb.2006.05.025,2006
ATC000045,doi:10.1016/j.giant.2024.100250,2024
ATC000046,doi:10.1016/j.inoche.2024.112121,2024
ATC000047,doi:10.1016/j.carbpol.2009.09.027,2010
ATC000048,doi:10.1016/j.jsps.2020.07.003,2020
ATC000049,doi:10.1016/j.apcatb.2021.120734,2022
ATC000050,doi:10.1016/j.msec.2020.111399,2021
ATC000051,doi:10.1016/j.jwpe.2022.103250,2022
ATC000052,doi:10.1016/j.jhazmat.2014.01.057,2014
ATC000053,doi:10.1016/j.envres.2020.110067,2020
ATC000054,doi:10.1016/j.biombioe.2020.105733,2020
ATC000055,doi:10.1016/j.colsurfa.2012.08.010,2012
ATC000056,doi:10.1016/j.jwpe.2020.101747,2021
ATC000057,doi:10.1016/j.molstruc.2022.133024,2022
ATC000058,doi:10.1016/j.aquatox.2023.106615,2023
ATC000059,doi:10.1016/j.msec.2018.05.077,2018
ATC000060,doi:10.1016/j.etap.2022.103930,2022
ATC000061,doi:10.1016/j.bios.2016.05.094,2016
ATC000062,doi:10.1016/j.watres.2022.119508,2023
ATC000063,doi:10.1016/j.jallcom.2020.158372,2021
ATC000064,doi:10.1016/j.surfin.2022.102545,2023
ATC000065,doi:10.1016/j.jphotochem.2017.06.003,2017
ATC000066,doi:10.1016/j.mtcomm.2023.105440,2023
ATC000067,doi:10.1016/j.poly.2021.115629,2022
ATC000068,doi:10.1016/j.fsi.2024.109383,2024
ATC000069,doi:10.1016/j.ijbiomac.2018.03.047,2018
ATC000070,doi:10.1016/j.ijpharm.2023.122584,2023
ATC000071,doi:10.1016/j.jhazmat.2023.133316,2024
ATC000072,doi:10.1016/j.scitotenv.2011.07.039,2011
ATC000073,doi:10.1016/j.jddst.2022.103499,2022
ATC000074,doi:10.1016/j.cis.2013.12.002,2014
ATC000075,doi:10.1016/j.cej.2021.132092,2022
ATC000076,doi:10.1016/j.inoche.2021.108575,2021
ATC000077,doi:10.1016/j.colsurfa.2021.126202,2021
ATC000078,doi:10.1016/j.msec.2017.03.177,2017
ATC000079,doi:10.1016/j.carbpol.2016.08.069,2017
ATC000080,doi:10.1016/j.jhazmat.2024.134578,2024
ATC000081,doi:10.1016/j.foodchem.2015.10.015,2016
ATC000082,doi:10.1016/j.apsusc.2012.10.029,2013
ATC000083,doi:10.1016/j.carbon.2018.05.010,2018
