,tokens
1,"sequence, blot, dot, gene, protein, dna, expressed, cloned, sequences, expression, amino, proteins, escherichia, genes, purified"
2,"infections, detection, health, resistant, bacterial, ml, antibiotic, antibiotics, pathogens, samples, resistance, study, bacteria, pathogenic, coli"
3,"surface, escherichia, bacteria, aureus, coli, study, staphylococcus, bacterial, nanoparticles, toxicity, antibacterial, potential, resistant, cells, nm"
4,"uv, xrd, extract, synthesized, size, spectroscopy, nm, tem, diffraction, fourier, sem, synthesis, ray, spherical, green"
5,"complexes, ii, ligand, crystal, center, n, complex, ir, dot, compounds, elemental, nmr, coordination, two, ligands"
6,"dot, dna, gene, center, c, sequence, per, chromosome, show, protein, similar, associated, total, using, elsevier"
7,"vitro, wound, release, mechanical, adhesion, improved, healing, coating, infection, hydrogel, strength, antibacterial, composite, bone, aureus"
8,"dot, center, l, study, ml, antioxidant, extract, results, activity, radical, effect, treatment, mg, concentration, respectively"
9,"new, different, due, developed, one, form, using, significant, specific, high, also, increased, p, reaction, two"
10,"detection, limit, ml, carbon, time, bacteria, sensitivity, study, showed, cfu, concentration, high, range, dna, cells"
11,"microscopy, xrd, ray, prepared, sem, analysis, antibacterial, spectroscopy, synthesized, uv, efficiency, also, x, tem, ftir"
12,"exposure, toxicity, effects, observed, concentrations, exposed, l, escherichia, mg, induced, results, zebrafish, nanoparticles, study, stress"
13,"photocatalytic, light, degradation, environmental, visible, mechanism, irradiation, fluorescence, dot, species, applications, carbon, also, one, samples"
14,"toxicity, exposure, aquatic, toxic, effects, exposed, concentrations, organisms, study, nanoparticles, results, mg, l, used, concentration"
15,"detection, fluorescence, fluorescent, limit, cells, signal, cfu, method, vivo, assay, ml, dna, specific, quantum, high"
16,"fish, kg, fed, immune, diet, levels, groups, dietary, diets, serum, control, significantly, liver, group, feed"
17,"dot, acid, fabrics, cotton, effects, center, used, microbial, found, higher, different, samples, ph, role, analysis"
18,"properties, excellent, aureus, antibacterial, exhibited, furthermore, applications, e, activity, materials, good, resistant, bacterial, surface, composite"
19,"exposure, exposed, toxicity, aquatic, fish, effects, zebrafish, organisms, mg, concentrations, l, observed, toxic, study, stress"
20,"light, irradiation, visible, xrd, uv, photocatalytic, blue, vis, degradation, diffraction, nm, sem, efficient, bacteria, spectroscopy"
21,"ray, electron, diffraction, x, antibacterial, spectroscopy, scanning, microscopy, uv, nanoparticles, synthesized, prepared, activity, xrd, surface"
22,"extract, ftir, electron, xrd, fourier, nanoparticles, antimicrobial, size, spectroscopy, uv, green, transmission, synthesized, characterized, transform"
23,"infections, biofilm, wound, staphylococcus, aureus, resistant, release, antibacterial, antimicrobial, antibiotic, activity, drug, bacterial, treatment, results"
24,"photocatalytic, light, degradation, water, efficiency, antibacterial, performance, due, irradiation, based, surface, materials, synthesized, composite, oxygen"
25,"infection, infections, vivo, strategy, therapy, infected, resistance, bacterial, vitro, antibacterial, release, healing, wound, resistant, antibiotic"
26,"increased, significantly, decreased, kg, p, treatment, levels, treated, weight, control, stress, days, higher, increase, significant"
27,"ray, fabric, surface, properties, coli, fabrics, aureus, spectroscopy, electron, antibacterial, activity, cotton, x, prepared, nanoparticles"
28,"growth, center, production, l, g, dot, weight, biomass, content, ratio, levels, fed, kg, control, total"
29,"photocatalytic, degradation, visible, light, xrd, min, dye, wastewater, efficiency, photocatalyst, doped, uv, removal, elsevier, blue"
30,"detection, limit, sensitivity, sensitive, gold, cfu, ml, based, signal, samples, sensor, range, linear, sensing, biosensor"
31,"toxicity, exposure, aquatic, exposed, effects, organisms, environmental, l, concentrations, nps, nanoparticles, soil, different, reserved, daphnia"
32,"films, coli, properties, film, mechanical, packaging, prepared, antibacterial, food, activity, based, showed, aureus, nanoparticles, water"
