,tokens
1,"c, reserved, rights, elsevier, b, v, ltd, published, inc, acta, materialia, authors, copyright, sas, science"
2,"carbon, nanotubes, sio2, nanoparticles, surface, mesoporous, walled, functionalized, mwcnts, multi, single, cnts, nanotube, loaded, modified"
3,"c, degrees, temperature, high, h, ph, weight, low, molecular, conditions, water, temperatures, solution, stable, room"
4,"fluorescence, emission, quantum, two, ii, center, dot, nm, electron, n, dots, state, excitation, oxygen, transfer"
5,"surface, concentration, charged, size, increased, increase, due, positively, charge, increasing, negatively, ph, higher, observed, adsorption"
6,"nanoparticles, extract, using, silver, study, synthesis, green, agnps, synthesized, nps, present, leaf, aqueous, method, reducing"
7,"protein, expression, immune, alpha, il, dot, mice, cells, specific, beta, blot, response, antibodies, antibody, anti"
8,"study, toxicity, effects, nps, different, nanoparticles, magna, investigated, daphnia, using, present, two, exposure, tio2, model"
9,"degradation, photocatalytic, dye, blue, methylene, activity, light, efficiency, min, mb, irradiation, removal, catalytic, visible, dyes"
10,"properties, investigated, chemical, thermal, antibacterial, structural, characterized, studied, different, mechanical, analysis, optical, using, mass, morphological"
11,"l, mg, concentrations, exposure, toxicity, nps, concentration, h, exposed, observed, effects, ag, g, toxic, showed"
12,"delivery, drug, therapy, potential, treatment, promising, system, therapeutic, bacterial, infections, based, cancer, strategy, effective, study"
13,"high, water, new, method, based, cost, low, provides, work, efficient, applications, application, strategy, study, potential"
14,"nm, electron, sem, microscopy, size, spherical, tem, showed, nanoparticles, images, scanning, revealed, transmission, morphology, surface"
15,"nanoparticles, chitosan, films, prepared, silver, study, pva, cellulose, based, using, method, zno, nanocomposite, composite, ag"
16,"disease, diseases, human, water, pathogens, food, important, virus, one, health, bacteria, used, control, cause, infectious"
17,"c, b, v, elsevier, published, society, behalf, university, graphics, king, subtilis, j, saud, author, chemical"
18,"antibacterial, properties, nanoparticles, silver, ag, surface, activity, graphene, oxide, antimicrobial, go, coating, effect, coatings, composite"
19,"detection, ml, limit, cfu, e, coli, range, samples, sensitivity, concentration, linear, x, low, method, high"
20,"graphene, oxide, method, synthesized, go, doped, prepared, using, nanoparticles, carbon, tio2, rgo, study, via, ag"
21,"molecular, interactions, binding, interaction, analysis, model, mechanism, structure, using, docking, experimental, studies, results, hydrogen, theory"
22,"l, g, ph, concentration, time, mg, adsorption, conditions, order, model, parameters, rate, using, maximum, respectively"
23,"fish, control, groups, group, mg, liver, p, trout, kg, significantly, rainbow, compared, levels, study, days"
24,"nm, size, average, spherical, particle, nanoparticles, nps, agnps, shape, potential, diameter, zeta, synthesized, respectively, results"
25,"coli, gene, protein, escherichia, e, expression, genes, type, strain, expressed, plasmid, sequence, recombinant, proteins, amino"
26,"metal, ions, organic, groups, nanoparticles, surface, magnetic, adsorption, fe3o4, iron, framework, ii, reaction, immobilized, acid"
27,"however, toxicity, effects, nanoparticles, still, nps, studies, mechanisms, organisms, mechanism, known, remains, although, aquatic, toxic"
28,"genes, expression, gene, analysis, pcr, related, identified, revealed, expressed, time, dot, using, involved, response, sequencing"
