,tokens
1,"coli, study, aureus, escherichia, using, activity, results, staphylococcus, showed, nanoparticles, used, potential, antibacterial, e, also"
2,"zno, nps, ag, tio2, cuo, cu, silver, au, aureus, staphylococcus, nano, np, ceo2, doped, coli"
3,"agnps, zno, nps, results, coli, based, c, escherichia, high, also, e, elsevier, study, reserved, rights"
4,"ag, tio2, nps, agnps, aureus, coli, staphylococcus, escherichia, cu, cuo, au, go, antibacterial, bacteria, scanning"
5,"go, ag, agnps, zno, cs, study, hap, rgo, pva, used, using, results, c, also, membrane"
6,"ag, study, tio2, results, however, nanoparticles, films, used, effects, potential, also, cs, cotton, c, pva"
7,"tio2, zno, agnps, go, films, nano, nanoparticles, silver, doped, n, aureus, staphylococcus, nm, potential, anatase"
8,"ag, zno, cds, electron, x, agnps, ray, microscopy, scanning, diffraction, qds, fourier, infrared, spectroscopy, transform"
9,"cds, qds, nps, study, go, results, cdte, c, zns, cdse, cd, n, showed, however, elsevier"
10,"cu, cuo, nps, center, dot, cds, cs, electron, films, pva, microscopy, x, agnps, scanning, ray"
11,"center, dot, ag, qds, aureus, coli, nanoparticles, staphylococcus, complexes, oh, cl, n, zno, escherichia, h2o"
12,"cu, cuo, qds, nanoparticles, aureus, ag, ii, complexes, staphylococcus, potential, agnps, study, cotton, dna, silver"
13,"qds, cs, pva, cdte, cu, zns, cd, coli, cdse, escherichia, films, nanofibers, pla, bacteria, qd"
14,"qds, nps, cuo, cdte, cotton, zns, cdse, fabrics, dna, fabric, au, electron, scanning, x, ray"
15,"c, cu, elsevier, reserved, rights, qds, b, v, escherichia, ag, tio2, coli, rgo, cdte, zno"
16,"cuo, rgo, ag, c, nanoparticles, escherichia, np, zno, elsevier, staphylococcus, reserved, rights, films, b, coli"
17,"films, cd, nanoparticles, pva, silver, cotton, nanofibers, chitosan, se, pla, coli, fabrics, escherichia, nps, ps"
18,"cotton, fabrics, fabric, cs, silver, c, cd, elsevier, coated, antibacterial, staphylococcus, polyester, reserved, rights, fibers"
19,"aureus, staphylococcus, films, dna, c, rgo, elsevier, reserved, rights, antibacterial, b, v, mgo, cs, aunps"
20,"rgo, films, cotton, escherichia, coli, fabric, fabrics, pva, nps, se, hydrogel, nanocomposite, using, e, film"
21,"hap, rgo, cd, nanoparticles, zn, nps, se, silver, agnps, complexes, ii, ceo2, pcl, beta, staphylococcus"
22,"hap, aunps, films, cotton, dna, fabrics, au, fabric, escherichia, pva, detection, coli, sers, cuo, pla"
23,"cd, aunps, au, dna, e, beta, nanofibers, se, complexes, cuo, pva, coli, ii, zn, ha"
24,"au, bc, nanoparticles, pva, mgo, fe3o4, nanofibers, silver, coli, mwcnts, ha, ps, agnps, cotton, pani"
25,"mgo, bc, cd, aunps, nzvi, soil, beta, zn, ncs, using, nisin, np, agnp, results, rgo"
26,"au, cd, films, se, study, staphylococcus, nzvi, fe3o4, results, using, cotton, aureus, ncs, senps, mos2"
27,"bc, se, nzvi, senps, dna, fe3o4, hap, selenium, cs, mmt, composites, agnp, selenite, activity, cqds"
28,"se, mgo, au, senps, nanoparticles, ha, e, silver, selenium, nano, ncs, cuo, coli, dna, np"
29,"pva, nanofibers, se, staphylococcus, aureus, hydrogel, pda, dna, study, hydrogels, membranes, ha, pcl, senps, membrane"
30,"nzvi, aunps, pva, soil, nanofibers, ha, se, vi, fe, hydrogels, using, u, qds, earthworms, silver"
31,"dna, nzvi, coli, e, mgo, study, films, complexes, escherichia, soil, ii, hydrogel, showed, pva, detection"
32,"ha, ceo2, dna, films, g, c3n4, pu, study, mos2, coatings, coating, bone, ta, ce, mu"
33,"ps, mps, ha, nzvi, np, transgenerational, using, results, fe3o4, microplastics, toxicity, pda, activity, nanoplastics, study"
34,"mwcnts, fe3o4, e, cnts, pda, mwcnt, activity, mir, f, toxicity, size, nm, nps, sers, o157"
35,"ceo2, mwcnts, ps, mps, dna, np, hydrogel, au, pva, c3n4, results, used, using, senps, g"
36,"fe3o4, ceo2, e, pda, sio2, coli, ps, magnetic, pla, se, o157, mnps, mps, h7, mgo"
37,"fe3o4, cqds, nanoparticles, aunps, pva, escherichia, dna, silver, mos2, pda, mwcnts, hydrogel, nps, study, hydrogels"
38,"pla, nanofibers, dna, nanoparticles, pcl, mwcnts, cqds, results, nzvi, se, silver, escherichia, aunps, mos2, fibers"
39,"cqds, e, o157, h7, activity, cd, g, pva, sers, detection, c3n4, antibacterial, se, showed, hap"
40,"ef, tu, cqds, trna, pla, ts, gtp, se, study, c3n4, nanofibers, g, coli, e, gdp"
41,"cqds, complexes, ii, senps, nanofibers, pla, n, zn, ni, c3n4, g, fe, agnp, pd, l"
42,"senps, cqds, pva, ha, ef, ceo2, mwcnts, silver, cd, tu, results, e, o157, trna, electron"
43,"senps, hydrogel, cqds, wound, hydrogels, g, silver, c3n4, using, dna, pda, healing, mu, ml, membranes"
44,"mos2, c3n4, senps, g, mu, l, pva, ml, nanofibers, silver, nio, coli, pani, e, showed"
45,"mos2, using, zn, pda, senps, pla, method, antibacterial, surface, au, cqds, ii, fe, complexes, zif"
46,"pla, senps, hydrogel, study, ii, silver, complexes, pda, hydrogels, fe, nanoparticles, o157, h7, zif, e"
47,"using, pla, pva, fe3o4, dna, c3n4, used, nanoparticles, zif, method, based, g, surface, e, ncs"
48,"pla, mos2, cunps, hydrogels, results, hydrogel, ncs, fe3o4, pva, nio, l, g, agnp, wound, pani"
49,"membranes, membrane, cunps, pes, pva, study, pani, escherichia, pvdf, coli, cell, pda, cells, silver, cu2o"
50,"ncs, mos2, membranes, membrane, pani, nio, nanoparticles, e, wound, pes, bacteria, agnp, activity, pcl, used"
51,"zn, results, ncs, zif, pda, nio, membranes, membrane, soil, silver, showed, activity, bacteria, pes, ef"
52,"ncs, cunps, zif, pda, silver, study, using, cur, pani, o157, h7, mos2, znonps, positive, pd"
53,"zn, nio, study, using, soil, ncs, cu2o, nanofibers, silver, chitosan, np, hydrogel, pani, senps, antibacterial"
54,"nio, pda, cur, mos2, ni, cdo, nanofibers, curcumin, nanocomposites, o157, h7, au, complexes, np, agnp"
55,"zif, nio, using, hydrogel, pcl, chitosan, membranes, used, hydrogels, o157, h7, bacteria, vi, sa, mos2"
56,"using, fe, results, cunps, silver, pd, c3n4, membranes, nio, pcl, ii, ni, e, fe3o4, iii"
57,"silver, np, agnp, pd, mnps, nisin, fe, results, ps, pani, snps, showed, nio, study, pt"
58,"agnp, c3n4, o157, cur, snps, h7, znonps, using, chitosan, curcumin, cu2o, also, film, results, cells"
59,"agnp, nanofibers, chitosan, mps, fe, showed, zif, n, pda, cunps, hydrogel, results, ncs, using, pani"
60,"pani, np, cur, nanofibers, pd, curcumin, o157, h7, activity, high, surface, hydrogel, hydrogels, pt, used"
61,"chitosan, nisin, using, np, sers, n, gqds, escherichia, complexes, l, detection, ncs, mg, results, mu"
62,"o157, h7, agnp, np, aureus, pcl, ps, e, complexes, staphylococcus, cunps, membranes, nanoparticles, study, wound"
63,"snps, chitosan, pcl, mps, pd, l, o157, h7, pda, mg, aureus, staphylococcus, mnps, using, hydrogels"
64,"nisin, pd, mps, fe, pcl, agnp, mnps, zn, pani, nanoparticles, also, aureus, zif, cunps, staphylococcus"
65,"pani, chitosan, gqds, snps, n, bacteria, cunps, fe, cu2o, nanoparticles, c3n4, pda, pcl, cnts, results"
66,"gqds, n, pani, znonps, mps, silver, cu2o, complexes, l, pcl, mnps, study, mg, cnts, surface"
67,"cur, curcumin, pcl, chitosan, agnp, sers, peg, pani, study, pva, using, film, activity, l, scaffolds"
