Filename,Counter,biological_species,nanomaterial_composition,nanomaterial_morphology,toxicity_endpoints,toxicity_yes_no
ATC00000,0,Danio rerio,Cu,nanoparticle,,
ATC00000,1,Danio rerio,Cu,nanoparticle,,
ATC00010,60,,CdSe,nanoparticle,,
ATC00010,61,,CdSe,nanoparticle,,
ATC00010,62,,Ag,nanoparticle,,
ATC00010,63,,CdSe,nanoparticle,,
ATC00010,64,,CdSe,nanoparticle,,
ATC00010,65,,CdSe,nanoparticle,,
ATC00010,66,,CdSe,nanoparticle,,
ATC00010,67,,CdSe,nanoparticle,,
ATC00010,68,,CdSe,nanoparticle,,
ATC00010,69,,CdSe,nanoparticle,,
ATC00010,70,,Ag,nanoparticle,,
ATC00010,71,,CdSe,nanoparticle,,
ATC00010,72,,CdSe,nanoparticle,,
ATC00010,73,,CdSe,nanoparticle,,
ATC00010,75,,CdSe,nanoparticle,,
ATC00010,76,,CdSe,nanoparticle,,
ATC00010,77,,CdSe,nanoparticle,,
ATC00010,78,,CdSe,nanoparticle,,
ATC00010,79,,CdSe,nanoparticle,,
ATC00010,80,,CdSe,nanoparticle,,
ATC00010,81,,CdSe,nanoparticle,,
ATC00010,83,,CdSe,nanoparticle,,
ATC00010,84,,CdSe,nanoparticle,,
ATC00010,85,,Ag,nanoparticle,,
ATC00010,86,,Ag,nanoparticle,,
ATC00010,87,,Ag,nanoparticle,,
ATC00010,88,,Ag,nanoparticle,,
ATC00010,89,,Ag,nanoparticle,,
ATC00010,91,,Ag,nanoparticle,,
ATC00010,92,,Ag,nanoparticle,,
ATC00010,93,,Ag,nanoparticle,,
ATC00010,94,,Ag,nanoparticle,,
ATC00010,95,,Ag,nanoparticle,,
ATC00010,96,,Ag,nanoparticle,,
ATC00010,97,,Ag,nanoparticle,,
ATC00010,99,Danio rerio,ZnO,nanoparticle,,
ATC00010,0,Danio rerio,ZnO,nanoparticle,,
ATC00010,1,Danio rerio,ZnO,nanoparticle,,
ATC00010,2,Danio rerio,ZnO,nanoparticle,,
ATC00010,3,Danio rerio,ZnO,nanoparticle,,
